「マリトッツォ」を「マッツォトッツォ」と呼ぶライバーは誰？,2,えまおうがすと,魔使マオ,勇気ちひろ,エクス・アルビオ
2021年9月現在　にじさんじで「２番目」に再生数が多い動画を配信したライバーは誰？,4,葛葉,叶,月ノ美兎,メリッサキンレンカ
年齢が4000歳のライバーは？,2,モイラ,ギルザレンⅢ世,戌亥とこ,魔使マオ
ギルザレンがDiscordで初めて@everyoneでメッセージを送ったのは、誰の30万人配信の時？,3,伏見ガク,剣持刀也,文野環,樋口楓
大川ぶくぶ先生がよくファンアートを描くライバーは？,4,椎名唯華,家長むぎ,物述有栖,本間ひまわり
音楽ゲーム「beatmania IIDX」をプレイする女性ライバーは誰？,2,ドーラ,エリー・コニファー,モイラ,フレンEルスタリオ
「ろきぺ」とは誰のファンネーム？,3,花畑チャイカ,ドーラ,轟京子,卯月コウ
D.Eを名乗るライバーは誰？,2,社築,鈴木勝,葛葉,叶
ライバーの自己紹介文で「孤独である。」が最後に来るライバーは誰？,1,ジョー力一,鈴木勝,剣持刀也,静凛
葉山舞鈴の髪飾りは何？,2,カボス,シークヮーサー,レモン,オレンジ
ルイスキャミーの右目下に付けているマークは何？,3,スペード,ダイヤ,ハート,クローバー
鷹宮リオンが朝活配信する際のタイトル「ダウナー」とはどういう意味？,1,暗い人,気分屋な人,明るい人,のんびりしている人
鷹宮リオンが朝活配信する際のタイトル「チルい」とはどういう意味？,3,転がる,暴れる,くつろぐ,明るくなる
ベルモンド・バンデラスの性別は？,4,男,オカマ,女,ない
V界隈のおもちゃといえば？,1,舞元啓介,ジョー力一,夢追翔,卯月コウ
「スクイズもできねえのかこのクソ白髪」とは誰がツイートした？,3,椎名結華,笹木咲,舞元啓介,樋口楓
えにから株式会社のキャッチコピー「魔法のような、〇〇〇を」◯に入る言葉は？,3,初体験,感動,新体験,未体験
えにから株式会社の社長の生まれた年は？,3,1994,1995,1996,1997
ゆがみんの尻尾の一番外側の色は？,2,青,赤,緑,オレンジ
月ノ美兎が創作料理「罪」を作った歳に飲んだ飲み物は？,4,コーラ,ハイボール,麦茶,氷結
えるの本名で一番最後に来る言葉は？,2,スノーマン,える,ブルーム,メイドイン
女性ライバーで一番背が高いのは誰？,3,える,白雪巴,フミ,ドーラ
フミが好きなガンダム（MS）は？,2,RX-78,メタス,ザク,ドム
